Time,Temperature Heater,Pressure Heater,Pressure Valve,Flow  Rate Valve,Waterlevel Tank,OEE Waterflow,OEE Heater,OEE Valv,Overall OEE,Predicted OEE,Upper Range,Lower Range,Premium,Stability
01:01:00,65,850.150202,865.2733382,366.0464226,61.76162541,0.8486,0.723958333,0.939993333,0.8401,,,,,
01:02:00,63,878.8784111,837.8416205,380.3583449,66.07996473,0.8486,0.713277778,0.899993333,0.8346,,,,,
01:03:00,61,843.1425453,868.2533996,348.5294978,72.86833966,0.8486,0.713277778,0.919993333,0.8515,,,,,
01:04:00,59,864.2655143,914.0562895,427.7340944,77.55305874,0.8486,0.702625,0.899993333,0.8349,,,,,
01:05:00,64,896.6845439,877.6486464,392.3133685,72.3506302,0.8486,0.702625,0.929993333,0.8349,,,,,
01:06:00,70,839.8956492,894.3895762,378.7384211,103.6267139,0.8395,0.692,0.929993333,0.8479,,,,,
01:07:00,71,837.210548,855.3257389,364.1975335,73.86654105,0.8395,0.692,0.889993333,0.8172,,,,,
01:08:00,49,928.2112227,858.9031443,361.6124654,70.75748382,0.8395,0.692,0.889993333,0.8372,,,,,
01:09:00,55,902.7565579,865.4240779,377.7143301,60.06804441,0.8486,0.702625,0.919993333,0.8237,,,,,
01:10:00,51,828.1573468,871.8981123,411.4721018,72.84091151,0.8486,0.702625,0.9499775,0.8337,,,,,
01:11:00,70,899.7605914,823.8837609,360.9879836,84.98459509,0.8577,0.713277778,0.8599775,0.8103,,,,,
01:12:00,51,838.7252205,843.9448164,374.8422311,79.67738109,0.8577,0.713277778,0.8799775,0.817,,,,,
01:13:00,57,845.7808075,866.6647654,317.0770109,75.01884823,0.8669,0.723958333,0.8499775,0.8162,,,,,
01:14:00,63,920.4039383,881.0716407,375.679961,73.10309025,0.8669,0.723958333,0.9299775,0.8072,,,,,
01:15:00,63,918.3424776,907.4578624,436.6437319,67.03057473,0.8669,0.723958333,0.8699775,0.8105,,,,,
01:16:00,49,905.9956323,846.6890859,395.2481942,73.3806674,0.8669,0.723958333,0.8899775,0.8204,,,,,
01:17:00,51,931.121242,861.9594034,379.6033506,72.56653256,0.8669,0.723958333,0.8699775,0.8137,,,,,
01:18:00,53,904.3874638,819.2437268,373.1920951,82.5132526,0.8761,0.734666667,0.8799775,0.8302,,,,,
01:19:00,56,936.0910848,861.545625,356.59808,77.57170404,0.8761,0.734666667,0.9399775,0.82302,,,,,
01:20:00,61,817.4684194,830.6802949,376.786816,65.31989882,0.8761,0.734666667,0.8799775,0.8302,,,,,
01:21:00,57,908.0485438,815.3145593,380.6091096,68.07849421,0.8669,0.734666667,0.8599775,0.8205,,,,,
01:22:00,60,815.2105078,824.8925798,452.6672096,77.6026145,0.8669,0.723958333,0.9399775,0.8336,,,,,
01:23:00,65,853.7278813,908.3480475,348.3174718,78.10078576,0.8669,0.723958333,0.8499775,0.8136,,,,,
01:24:00,57,828.7052264,877.9720457,384.1761763,87.57565063,0.8669,0.713277778,0.849993333,0.81,,,,,
